publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	package_name	package_id	vendor_name	vendor_id	resource_type	package_content_type
Trotz Aufschwung : Einkommensungleichheit geht nicht zur¸ck									http://www.boeckler.de/pdf/p_wsi_report_26_2015.pdf		846377454		fulltext		WSI	monograph		2015			"Spannagel, Dorothee"			P					Book	EBook
Vermˆgensverteilung und Altersgruppeneffekte : Eine Dekompositionanalyse									http://www.iwkoeln.de/studien/gutachten/beitrag/judith-niehues-vermoegensverteilung-und-altersgruppeneffekte-251784		846379201		fulltext		Institut der deutschen Wirtschaft Kˆln	monograph		2015			"Niehues, Judith"			P					Book	EBook
Der Wohnungsmarkt 2030 : Wie und wo die Generation 65+ leben wird. In Kooperation mit BPD									https://www.iwkoeln.de/_storage/asset/254802/storage/master/file/8175532/download/Gutachten%20Wohnen%20im%20%20Alter%20IW%20K%C3%B6ln.pdf.		846383128		fulltext		BPD	monograph		2015			"Deschermeier, Philipp"			P					Book	EBook
Lohn- und Besch‰ftigungseffekte der Zuwanderung nach Deutschland									http://hdl.handle.net/10419/127573		846369273		fulltext		Deutsches Institut f¸r Wirtschaftsforschung	monograph		2016			"Schmieder, Julia"			P					Book	EBook
Gr¸ne Infrastruktur : eine wichtige Aufgabe der Stadtplanung									http://www.ils-forschung.de/files_publikationen/pdfs/ILS-TRENDS_3_15.pdf		846571560		fulltext			monograph		2015			"Rusche, Karsten"			P					Book	EBook
The effects of wage subsidies for older workers : Wage subsidies to encourage employers to hire older workers are often ineffective									http://wol.iza.org/articles/effects-of-wage-subsidies-for-older-workers-1.pdf		846574594		fulltext			monograph		2015		Ausgabebezeichnung	"Boockmann, Bernhard"			P					Book	EBook
Chancen einer haus‰rztlichen Fr¸hversorgung von Menschen mit Demenz : Untersuchung zur Akzeptanz und Qualit‰t leitliniengerechter Demenzdiagnostik und -therapie									http://nbn-resolving.de/urn:nbn:de:bsz:16-heidok-186089		830231846		fulltext			monograph		2015			"Kˆhler, Nina"			P					Book	EBook
Motivation von Seniorinnen und Senioren zur sportlichen Bet‰tigung: : Eine empirische Untersuchung mittels qualitativer Interviews in und um Gˆttingen									http://hdl.handle.net/11858/00-1735-0000-0022-605C-8		831913010		fulltext			monograph		2015			"Spiller, Rita"			P					Book	EBook
Mobilit‰tsfˆrderung im interdisziplin‰ren Raum der geriatrischen Langzeitpflege : eine Pr‰- und Poststudie zur Mobilit‰tsfˆrderung im Alter (MiA)									http://nbn-resolving.de/urn:nbn:de:gbv:46-00104754-14		837285801		fulltext			monograph		2015			"Schlesselmann, Elkevon"			P					Book	EBook
"Der Einfluss von Alter und Aktivit‰t auf die sportliche Leistungsf‰higkeit am Beispiel der motorischen F‰higkeiten Kraft, Ausdauer und Gleichgewicht im Erwachsenenalter"									http://nbn-resolving.de/urn:nbn:de:gbv:8-diss-169592		846712326		fulltext			monograph		2015			"Last, Julia"			P					Book	EBook
"Demenznetzwerke in Deutschland : integrierte medizinische, pharmazeutische und nicht-pharmakologische Therapien in Netzwerkstrukturen"									https://epub.ub.uni-greifswald.de/rewrite/index/opus3file/opus3id/2288/filename/Dissertation_Wuebbeler_Markus.pdf		846715457		fulltext			monograph		2015			"W¸bbeler, Markus"			P					Book	EBook
Shaping Ageing Cities : 10 European case studies									http://www.ifa-fiv.org/wp-content/uploads/2015/09/Shaping-Ageing-Cities_A4_web-1.pdf		847028224		fulltext			monograph		2015		Ausgabebezeichnung	"Oliveri, Mauro"			P					Book	EBook
Soziologische Revue : Besprechungen neuer Literatur	0343-4109	2196-7024							https://www.degruyterbrill.com/journal/key/srsr/html		618277463		fulltext		De Gruyter	serial								P					Journal	EJournal
Journal of Social Inclusion : JoSI		1836-8808							https://josi.org.au/		647305704		fulltext		[Verlag nicht ermittelbar]	serial								P					Journal	EJournal
"Zukunft der Pflegepolitik : Perspektiven, Handlungsoptionen und Politikempfehlungen"		978-3-95861-367-6							http://library.fes.de/pdf-files/wiso/12275.pdf		846554879		fulltext		FES	monograph		2016			"Ehrentraut, Oliver"			P					Book	EBook
Women and Dementia : A global research review									http://www.alz.co.uk/sites/default/files/pdfs/Women-and-Dementia.pdf		847084523		fulltext		ADI	monograph		2015			"Erol, Rosie"			P					Book	EBook
Generation Stuck: : Exploring the Reality of Downsizing in Later Life									http://www.ilcuk.org.uk/index.php/publications/publication_details/generation_stuck_exploring_the_reality_of_downsizing_in_later_life		847090477		fulltext		ILC-UK	monograph		2016			"Beach, Brian"			P					Book	EBook
"Arbeitslosengeld-I-Bezug von ƒlteren -Zug‰nge, Bestand und Abg‰nge 2005 bis 2013"									http://doku.iab.de/aktuell/2016/aktueller_bericht_1603.pdf		847092860		fulltext			monograph		2016			"Hochfellner, Daniela"			P					Book	EBook
Perspektivenwechsel : Methode Schattentage in der Pflege$dBed¸rfnisorientierte Qualit‰tsentwicklung in der Pflegepraxis									https://www.zqp.de/index.php?pn=project&id=371		847101541		fulltext		ZQP	monograph		2016			"Sulmann, Daniela"			P					Book	EBook
Stability and change in risk-taking propensity across the adult lifespan									http://hdl.handle.net/10419/129738		847104168		fulltext		"German Socio-Economic Panel (SOEP), DIW Berlin"	monograph		2016			"Josef, Anika K."			P					Book	EBook
Menschen mit Demenz und geistiger Behinderung begleiten : Eine Handreichung f¸r Mitarbeitende in der Behinderten- und Altenhilfe									http://www.demenz-service-nrw.de/tl_files/Landesinitiative/Die%20Landesinitiative/Veroeffentlichungen/15_12_18%20Band%2016%20%20Internetversion.pdf		847166643		fulltext		Kuratorium Deutsche Altershilfe	monograph		2015			"G‰rtner, Claudia"			P					Book	EBook
"Kooperation von Haupt- und Ehrenamtlichen in Pflege, Sport und Kulturl"									"http://www.bmfsfj.de/RedaktionBMFSFJ/Broschuerenstelle/Pdf-Anlagen/Kooperation-von-Haupt-und-Ehrenamtlichen-in-Pflege-Sport-und-Kultur-Endbericht,prop"		847170284		fulltext		INBAS - Sozialforschung	monograph		2015						P					Book	EBook
Engagementstrategie BMFSFJ: : Strategische Ausrichtung der Engagementpolitik									"http://www.bmfsfj.de/RedaktionBMFSFJ/Freiwilligendienste/Pdf-Anlagen/engagement-strategie,property=pdf,bereich=bmfsfj,sprache=de,rwb=true.pdf"		847172570		fulltext			monograph		2016						P					Book	EBook
Erwerbsminderungsrenten in der Krankenpflege : Erkl‰rungsans‰tze und Handlungsempfehlungen									http://hdl.handle.net/10419/125794		84511736X		fulltext		IAT	monograph		2016			"Schrˆer, Laura"			P					Book	EBook
"Neue Mobilit‰tsformen, Mobilit‰tsstationen und Stadtgestalt : kommunale Handlungsans‰tze zur Unterst¸tzung neuer Mobilit‰tsformen durch die Ber¸cksichtigung gestalterischer Aspekte : ein Projekt des Forschungsprogramms Experimenteller Wohnungs- und St‰dtebau (ExWoSt)"" des Bundesministeriums f¸r Umwelt, Naturschutz, Bau und Reaktorsicherheit (BMUB) betreut vom Bundesinstitut f¸r Bau-, Stadt- und Raumforschung (BBSR) im Bundesamt f¸r Bauwesen und Raumordnung (BBR)"""		978-3-87994-171-1							http://nbn-resolving.de/urn:nbn:de:hbz:5:2-83709		845996789		fulltext		"Bundesinstitut f¸r Bau-, Stadt und Raumforschung (BBSR) im Bundesamt f¸r Bauwesen und Raumordnung (BBR)"	monograph		2015		Stand M‰rz 2015	"Schlump, Christian"			P					Book	EBook
40 Jahre Datenstelle der Deutschen Rentenversicherung : Festschrift									http://www.dsrv.info/de/Inhalt/40_Wir_%C3%BCber_uns/01_Die_DSRV/Festschrift%20DSRV.pdf?__blob=publicationFile&v=2		847544532		fulltext		Dt. Rentenversicherung Bund	monograph		2015						P					Book	EBook
ZQP-Bevˆlkerungsbefragung Vereinbarkeit von Pflege und Beruf									http://zqp.de/upload/data/ZQP_Themenreport_Beruf_Pflege.pdf		847566420		fulltext			monograph		2016						P					Book	EBook
Teilprojekte Psychologie & Projektkoordination und Datenbank									https://edocs.tib.eu/files/e01fb15/842150544.pdf		842150544		fulltext		Max-Planck-Institut f¸r Bildungforschung	monograph		2015	[1]		"Lindenberger, Ulman"			P					Book	EBook
Smart Home 2030: : Wie die Digitalisierung das Bauen und Wohnen ver‰ndert									http://gdi.ch/Media/Product/Download/151103_SmartHome_D_web.pdf		847637077		fulltext		GDI	monograph		2015			"Frick, Karin"			P					Book	EBook
Zwischen Sicherheitsbed¸rfnis und Risikobereitschaft: : Eine Untersuchung im Auftrag des Bundesverbandes deutscher Banken									https://bankenverband.de/media/files/Untersuchung.pdf		847642259		fulltext			monograph		2015		Ausgabebezeichnung				P					Book	EBook
Fˆrderpotenziale f¸r die kulturelle Infrastruktur sowie f¸r kulturelle Aktivit‰ten in l‰ndlichen R‰umen : eine Bestandsaufnahme									http://www.kupoge.de/download/Studie_laendliche-kulturarbeit.pdf		847650375		fulltext		Institut f¸r Kulturpolitik	monograph		2015		Ausgabebezeichnung	"Ismaili-Rohleder, Stefanie"			P					Book	EBook
Teilprojekt: : Surveymethodik und Sozialwissenschaft Fˆrderkennzeichen 16SV5537									https://www.tib.eu/de/suchen/id/TIBKAT:84215227X/Berliner-Altersstudie-II-BASE-II-Abschlussberichte/		847682455		fulltext			monograph		2015			"Wagner, Gert G."			P					Book	EBook
Das Vermˆgen der mittleren Einkommensschicht in Deutschland zu Beginn des 21. Jahrhunderts : was wissen wir ¸ber die Mittelschicht in Deutschland?	978-3-95721-183-5								http://nbn-resolving.de/urn:nbn:de:0299-20154af3ffc5-94a4-e511-98c7-005056b963434		847686140		fulltext		Konrad-Adenauer-Stiftung	monograph		2015			"Arndt, Christian"			P					Book	EBook
"Erben und Vererben: : Erfahrungen, Erwartungen und Pl‰ne  eine repr‰sentative Studie des Instituts f¸r Demoskopie Allensbach im Auftrag der Deutschen Bank"									https://www.deutsche-bank.de/pfb/data/docs/Studie_final.pdf		84770646X		fulltext		Verlag	monograph		2015		Ausgabebezeichnung	"Zuname, Vorname"			P					Book	EBook
Access to healthcare in times of crisis									http://www.eurofound.europa.eu/de/publications/report/2014/quality-of-life-social-policies/access-to-healthcare-in-times-of-crisis		848469100		fulltext		Publ. Off. of the Europ. Union	monograph		2014			"Dubois, Hans"			P					Book	EBook
Gesundheitskompetenz vulnerabler Bevˆlkerungsgruppen									https://www.uni-bielefeld.de/gesundhw/ag6/publikationen/QuenzelSchaeffer_GesundheitskompetenzVulnerablerGruppen_Ergebnisbericht_2016.pdf		848476050		fulltext		Universit‰t Bielefeld	monograph		2016		Ausgabebezeichnung	"Quenzel, Gudrun"			P					Book	EBook
Further training for older workers : a solution for an ageing labour force?									http://nbn-resolving.de/urn:nbn:de:kobv:188-fudissthesis000000098212-3		816980241		fulltext			monograph		2014			"Zboralski-Avidan, Hila"			P					Book	EBook
Branchenanalyse kommunale Verwaltung : zwischen Finanzrestriktionen und ver‰nderten Arbeitsanforderungen - welche Trends bestimmen die Besch‰ftigungsentwicklung in der kommunalen Verwaltung?		978-3-86593-221-1							http://nbn-resolving.de/urn:nbn:de:101:1-201606091712		848986660		fulltext		Hans-Bˆckler-Stiftung	monograph		2016			"Schmid, Katrin"			P					Book	EBook
Zeit zu handeln									http://nbn-resolving.de/urn:nbn:de:kobv:109-1-7968022		849709210		fulltext		Deutscher Parit‰tischer Wohlfahrtsverband Gesamtverband e.V.	monograph		2016		1. Auflage	"Schneider, Ulrich"			P					Book	EBook
"Foresight-Studie Digitale Arbeitswelt"" f¸r das Bundesministerium f¸r Arbeit und Soziales"""									http://www.bmas.de/SharedDocs/Downloads/DE/PDF-Publikationen/Forschungsberichte/f463-digitale-arbeitswelt.pdf?__blob=publicationFile&v=2		851386458		fulltext			monograph		2016			"Apt, Wenke"			P					Book	EBook
Nur Luft und Liebe? : die Entlohnung sozialer Dienstleistungsarbeit im L‰nder- und Berufsvergleich : Expertise									http://library.fes.de/pdf-files/dialog/12168.pdf		85139972X		fulltext		Friedrich-Ebert-Stiftung	monograph		2016			"Hipp, Lena"			P					Book	EBook
Journal of population ageing : JPA	1874-7884	1874-7876							http://link.springer.com/journal/12062		599673974		fulltext		Springer Netherlands	serial								P					Journal	EJournal
Intergenerational transfers and wealth in the euro-area : the relevance of inheritances and gifts in absolute and relative terms									http://hdl.handle.net/10419/129752		851713947		fulltext		Deutsches Institut f¸r Wirtschaftsforschung	monograph		2016			"Tiefensee, Anita"			P					Book	EBook
Viktimisierungsbefragungen in Deutschland									https://www.bka.de/SharedDocs/Downloads/DE/Publikationen/Publikationsreihen/PolizeiUndForschung/1_47_1_ViktimisierungsbefragungenInDeutschland.pdf?__b		85171885X		fulltext		"BKA, Bundeskriminalamt"	monograph		2015			"Leitgˆb-Guzy, Nathalie"			P					Book	EBook
Age-Sensitive Effects of Enduring Work with Alternating Cognitive and Physical Load : A Study Applying Mobile EEG in a Real Life Working Scenario.									http://journal.frontiersin.org/article/10.3389/fnhum.2015.00711/abstract		851723640		fulltext			monograph		2016			"Wascher, Edmund"			P					Book	EBook
Bevˆlkerungsprognose f¸r Berlin und die Bezirke 2015 - 2030									http://www.stadtentwicklung.berlin.de/planen/bevoelkerungsprognose/download/2015-2030/Bericht_Bevprog2015-2030.pdf		851733409		fulltext		Senatsverwaltung f¸r Stadtentwicklung und Umwelt	monograph		2016						P					Book	EBook
Measuring Small-Scale At-Risk-of-Poverty in Germany : a Methodical Overview									http://www.corp.at/archive/CORP2015_79.pdf		851736084		fulltext			monograph		2015			"Kaup, Stefan"			P					Book	EBook
Der Regionale Sozialbericht Berlin und Brandenburg 2015									https://www.statistik-berlin-brandenburg.de/home/regionalersozialbericht.asp		851737927		fulltext		Amt f¸r Statistik Berlin - Brandenburg	monograph		2015						P					Book	EBook
"Sicherung der Daseinsvorsorge durch regionale Abstimmung von ÷PNV- und Versorgungsstrategien : Entwicklungsperspektiven von Schulen, haus‰rztlicher Versorgung, Lebensmittelversorgung sowie ÷PNV und lokale Differenzierung des Handlungsbedarfs ¸ber eine Siedlungstypisierung - am Beispiel des Gebietes des Mitteldeutschen Verkehrsverbundes (MDV)"									http://nbn-resolving.de/urn:nbn:de:101:1-201602111985		847221830		fulltext		Bundesministerium f¸r Verkehr und digitale Infrastruktur	monograph		2015						P					Book	EBook
WSI-Report		2366-7079							https://hdl.handle.net/10419/225358		850607892		fulltext		"WSI, Wirtschafts- und Sozialwissenschaftliches Institut"	serial								P					Journal	EJournal
"Die Innenstadt und ihre ˆffentlichen R‰ume : Erkenntnisse aus Klein- und Mittelst‰dten ; ein Projekt des Forschungsprogramms Experimenteller Wohnungs- und St‰dtebau (ExWoSt) des Bundesministeriums f¸r Umwelt, Naturschutz, Bau und Reaktorsicherheit (BMUB), betreut vom Bundesinstitut f¸r Bau-, Stadt- und Raumforschung (BBSR) im Bundesamt f¸r Bauwesen und Raumordnung (BBR)"		978-3-87994-174-2							http://www.bbsr.bund.de/BBSR/DE/Veroeffentlichungen/Sonderveroeffentlichungen/2015/innenstadt-oeffentliche-raeume-dl.pdf?__blob=publicationFile&v=6		85216419X		fulltext		"Bundesinstitut f¸r Bau-, Stadt- und Raumforschung (BBSR) im Bundesamt f¸r Bauwesen und Raumordnung (BBR)"	monograph		2015		Stand Dezember 2015				P					Book	EBook
Lebenslagen und Einkommenssituation ‰lterer Menschen : Implikationen f¸r Wohnungsversorgung und Wohnungsm‰rkte		978-3-87994-172-8							http://nbn-resolving.de/urn:nbn:de:101:1-201602167434		852170939		fulltext		BBSR	monograph		2015		Stand August 2015				P					Book	EBook
Freizeit-Monitor 2015									http://www.stiftungfuerzukunftsfragen.de/de/newsletter-forschung-aktuell/264.html		852224648		fulltext		Stiftung f¸r Zukunftsfragen - e. Initiative der British American Tobacco	monograph		2015			"Reinhardt, Ulrich"			P					Book	EBook
Mitbestimmungsfˆrderung Report		2364-0413							https://hdl.handle.net/10419/126111		823092089		fulltext		Hans-Bˆckler-Stiftung	serial								P					Journal	EJournal
Aktuelle Debatten und Entwicklungen in der betrieblichen Altersversorgung									http://hdl.handle.net/10419/175245		852475802		fulltext		Hans-Bˆckler-Stiftung	monograph		2016			"Campagna, Sebastian"			P					Book	EBook
Wirtschaftsdienst : Zeitschrift f¸r Wirtschaftspolitik	0043-6275	1613-978X							https://hdl.handle.net/10419/40027		348585373		fulltext		Sciendo	serial								P					Journal	EJournal
How does maternal pension wealth affect family old-age savings in Germany?									http://hdl.handle.net/10419/129746		852687052		fulltext		Deutsches Institut f¸r Wirtschaftsforschung	monograph		2016			"Thiemann, Andreas"			P					Book	EBook
Pflegeausbildung in Bewegung : ein Modellvorhaben zur Weiterentwicklung der Pflegeberufe. Schlussbericht der wissenschaftlichen Begleitung									http://www.dip.de/fileadmin/data/pdf/material/PiB_Abschlussbericht.pdf		852691327		fulltext		"Bundesministerium f¸r Familie, Senioren, Frauen und Jugend"	monograph		2008			"Klaes, Lothar"			P					Book	EBook
Deutschlands demografische Herausforderungen : Wie sich unser Land langsam aber sicher wandelt									http://www.berlin-institut.org/fileadmin/user_upload/Deutschlands_demografische_Herausforderungen/DemografischeHerausforderungen.pdf		852692331		fulltext			monograph		2016		Ausgabebezeichnung	"Klingholz, Reiner"			P					Book	EBook
DAK-Gesundheitsreport 2016 : Warum Frauen und M‰nner anders krank sind									http://www.dak.de/dak/download/DAK-Gesundheitsreport_2016-1783246.pdf		852699433		fulltext			monograph		2016		Stand: M‰rz 2016	"Kordt, Martin"			P					Book	EBook
Herausforderungen und Erfolgsfaktoren f¸r Altersinstitutionen in naher Zukunft : Online - Umfrage im Jahr 2009 und 2015 im Auftrag									http://www.curaviva.ch/files/O7V87PT/2015_09_10_bericht_herausforderungen.erfolgsfaktoren_2015.pdf		852704283		fulltext			monograph		2015		Z¸rich: August 2015				P					Book	EBook
Gl¸cksspielverhalten und Gl¸cksspielsucht in Deutschland : Ergebnisse des Surveys 2015 und Trends									http://www.bzga.de/forschung/studien-untersuchungen/studien/gluecksspiel/?sub=99		853500169		fulltext		BZgA	monograph		2016		Kˆln im Januar 2016	"Haﬂ, Wolfgang"			P					Book	EBook
Sozioˆkonomischer Disparit‰tenbericht 2015		978-3-95861-417-8							http://library.fes.de/pdf-files/wiso/12390.pdf		853503516		fulltext		Friedrich-Ebert-Stiftung	monograph		2016			"Albrech, Joachim"			P					Book	EBook
World Happiness Report 2016 Update : Volume I		978-0-9968513-3-6							http://worldhappiness.report/wp-content/uploads/sites/2/2016/03/HR-V1_web.pdf		853817413		fulltext		Sustainable Development Solutions Network	monograph		2016			"Helliwell, John F."			P					Book	EBook
Ausbildungsreport Pflegeberufe 2015 : Studie									http://jugend.dgb.de/++co++25e23860-f717-11e5-a09b-525400808b5c/Ausbildungsreport-Pflegeberufe-2015-der-verdi-Jugend.pdf		853824290		fulltext		ver.di	monograph		2016			"Dielmann, Gerd"			P					Book	EBook
Ambulante pflegerische Versorgung ƒlterer t¸rkeist‰mmiger Migranten in Berlin : eine Online - Befragung von Pflegediensten									https://www.zqp.de/upload/content.000/id00506/attachment01.pdf		855135468		fulltext			monograph		2015			"Schenk, Liane"			P					Book	EBook
Wertewelten Arbeiten 4.0 : Vorabfassung									http://www.bmas.de/SharedDocs/Downloads/DE/PDF-Publikationen/Forschungsberichte/wertewelten-arbeiten-vier-null.pdf?__blob=publicationFile&v=1		855137045		fulltext		nextpractice	monograph		2016						P					Book	EBook
Gesundheitliche Ungleichheit im hˆheren Lebensalter									http://www.rki.de/DE/Content/Gesundheitsmonitoring/Gesundheitsberichterstattung/GBEDownloadsK/2016_1_soziale_ungleichheit_alter.pdf;jsessionid=131D61D		855138971		fulltext			monograph		2016			"Lampert, Thomas"			P					Book	EBook
Aktionsprogramm regionale Daseinsvorsorge : Stand der Pilotprojekte ; ein MORO-Forschungsfeld									http://www.bbsr.bund.de/BBSR/DE/Veroeffentlichungen/BMVI/MOROInfo/10/moro10_6.pdf?__blob=publicationFile&v=2		849557348		fulltext			monograph		2015						P					Book	EBook
Die Zukunft der Bibliotheken in Deutschland : Eine Repr‰sentativbefragung der Bevˆlkerung ab 16 Jahre									http://www.ifd-allensbach.de/fileadmin/IfD/sonstige_pdfs/11048_Bericht_ekz_Bibliotheken.pdf		85560607X		fulltext			monograph		2016			"Zuname, Vorname"			P					Book	EBook
"The effects of recessions on family formation : Fertility and marriage rates are pro-cyclical in many countries, but the longer-term consequences are inconclusive"									http://wol.iza.org/articles/effects-of-recessions-on-family-formation-1.pdf		856404306		fulltext			monograph		2016			"Kondo, Ayako"			P					Book	EBook
Female education and its impact on fertility : The relationship is more complex than one may think									http://wol.iza.org/articles/female-education-and-its-impact-on-fertility-1.pdf		85640523X		fulltext			monograph		2016			$PJungho Kim			P					Book	EBook
Impact of remittances on fertility : Remittances are closely linked to household fertility choices with consequences at the community and country level									http://wol.iza.org/articles/impact-of-remittances-on-fertility-1.pdf		856408484		fulltext			monograph		2015			"Naufal, George S."			P					Book	EBook
Job search requirements for older unemployed workers : How do they affect re-employment rates and flows into states of inactivity for older unemployed workers?									http://wol.iza.org/articles/job-search-requirements-for-older-unemployed-workers-1.pdf		856733865		fulltext			monograph		2016			"Bloemen, Hans G."			P					Book	EBook
Freiwilliges Engagement in Deutschland : der Deutsche Freiwilligensurvey 2014									http://www.ssoar.info/ssoar/handle/document/47267		856895261		fulltext		BMFSFJ	monograph		2016		Stand: September 2016	"Simonson, Julia"			P					Book	EBook
Diskriminierungserfahrungen in Deutschland : erste Ergebnisse einer repr‰sentativen Erhebung und einer Betroffenenbefragung									http://www.antidiskriminierungsstelle.de/SharedDocs/Downloads/DE/publikationen/Handout_Umfrage_Diskriminierung_in_Dtschl_2015.pdf?__blob=publicationFi		857223038		fulltext		Antidiskriminierungsstelle des Bundes	monograph		2016		Stand: April 2016	"Beigang, Steffen"			P					Book	EBook
Adult education and development	0342-7633	2199-9139							https://www.dvv-international.de/en/adult-education-and-development/editions/		513215387		fulltext		IIZ DVV	serial								P					Journal	EJournal
"The greener, the happier? : the effects of urban green and abandoned areas on residential well-being"									http://www.diw.de/sixcms/detail.php?id=diw_01.c.495124.de		817838147		fulltext		DIW	monograph		2015			"Krekel, Christian"			P					Book	EBook
"Das soziale Quartier : Quartierspolitik f¸r Teilhabe, Zusammenhalt und Lebensqualit‰t"		978-3-95861-435-2							http://library.fes.de/pdf-files/wiso/12366.pdf		851214029		fulltext		Friedrich-Ebert-Stiftung	monograph		2016			"Borman, RenÈ"			P					Book	EBook
Untersuchung zum Zusammenhang zwischen Heimtierbesitz und menschlicher Gesundheit bei ‰lteren Personen in Deutschland									http://hdl.handle.net/10419/130582		856921424		fulltext		"German Socio-Economic Panel (SOEP), DIW Berlin"	monograph		2016			"Bˆhm, Marie S. C."			P					Book	EBook
Monitor 07 : Auf gute Nachbarschaft. Zeit f¸r Seniorengenossenschaften									https://zukunftsfonds.generali-deutschland.de/presse-und-medien/publikationsreihe-monitor/monitor-07-1229312/		857618636		fulltext		Generali	monograph		2016						P					Book	EBook
Gutachten zu Optimierungsmˆglichkeiten bei den Fˆrderregelungen der betrieblicher Altersversorgung : Untertitel		978-3-95826-030-6							http://www.bundesfinanzministerium.de/Content/DE/Standardartikel/Themen/Steuern/Weitere_Steuerthemen/Altersvorsorge/2016-04-15-Optimierungsmoeglichkei		857631349		fulltext		Julius-Maximilians-Universit‰t W¸rzburg	monograph		2016			"Kiesewetter, Dirk"			P					Book	EBook
"Akzeptanz des Wohlfahrtsstaates : hohe Verantwortung, verlorenes Vertrauen?"		978-3-95861-398-0							http://library.fes.de/pdf-files/wiso/12363.pdf		857634216		fulltext		Friedrich-Ebert-Stiftung	monograph		2016			"Kohl, J¸rgen"			P					Book	EBook
Chancen und Risiken von Gesundheits-Apps CHARISMHA									http://www.digibib.tu-bs.de/?docid=00060000		857451022		fulltext		Digitale Bibliothek	monograph		2016			"Albrecht, Urs-Vito"			P					Book	EBook
Retirement and changes in housework : a panel study of dual earner couples									http://hdl.handle.net/10419/137583		858201844		fulltext		"German Socio-Economic Panel (SOEP), DIW Berlin"	monograph		2016			"Leopold, Thomas"			P					Book	EBook
Nachrichtendienst des Deutschen Vereins f¸r ÷ffentliche und Private F¸rsorge : NDV	0012-1185								https://content-select.com/de/portal/media/search?fq[0]=rel_title:%22NDV+-+Nachrichtendienst%22&order=date&dc=DESC		777282690		fulltext		Deutscher Verein f¸r ÷ffentliche und Private F¸rsorge	serial								P					Journal	EJournal
Gutachten Rentenversicherung - Teil 1 : zum Zusammenhang von Besch‰ftigung und Beitragssatz zu den Sozialversicherungen ; Forschungsprojekt im Auftrag von B¸ndnis 90/Die Gr¸nen		978-3-946417-00-2							http://hdl.handle.net/10419/142787		859827992		fulltext		"DIW Berlin, Deutsches Institut f¸r Wirtschaftsforschung"	monograph		2016		Stand: Mai 2016	"Bach, Stefan"			P					Book	EBook
Gutachten Rentenversicherung - Teil 2 : Entwicklungen von Beitragssatz und Niveau in der Gesetzlichen Rentenversicherung ; Forschungsprojekt im Auftrag von B¸ndnis 90/Die Gr¸nen		978-3-946417-01-9							http://hdl.handle.net/10419/142788		859829723		fulltext		"DIW Berlin, Deutsches Institut f¸r Wirtschaftsforschung"	monograph		2016		Stand: Mai 2016	"Buslei, Hermann"			P					Book	EBook
"Ungleichheit: Ausmaﬂ, Ursachen und Konsequenzen : Parit‰tisches Jahresgutachten 2016"									http://www.paritaet-alsopfleg.de/index.php/downloadsnew/soziales-wohnungslosenhilfe/fachinformationen-soziales/8904-paritaet-jahresgutachten-2016		859795373		fulltext		Deutscher Parit‰tischer Wohlfahrtsverband Gesamtverband e.V.	monograph		2016			"Rock, Joachim"			P					Book	EBook
Eckpunkte f¸r ein Reformkonzept zur Qualit‰tspr¸fung und -berichterstattung in der Pflege									https://www.bertelsmann-stiftung.de/fileadmin/files/BSt/Publikationen/GrauePublikationen/Eckpunkte_Reformkonzept_Qualitaetsberichterstattung_Pflege_VV		859910768		fulltext		Bertelsmann Stiftung	monograph		2016			"Etgeton, Stefan"			P					Book	EBook
Flexible Arbeitszeitgestaltung		978-3-95861-424-6							http://library.fes.de/pdf-files/wiso/12491.pdf		86005554X		fulltext		FES	monograph		2016			"Maschke, Manuela"			P					Book	EBook
Pflegest¸tzpunkte in Deutschland : die Sicht der Mitarbeitenden : der rechtliche Rahmen : die politische Intention									http://library.fes.de/pdf-files/wiso/12538.pdf		860059243		fulltext		FES	monograph		2016			"Kirchen-Peters, Sabine"			P					Book	EBook
Typisierung von Fl¸chtlingsgruppen nach Alter und Bildungsstand									http://doku.iab.de/aktuell/2016/aktueller_bericht_1606.pdf		860061876		fulltext			monograph		2016			"Br¸cker, Herbert"			P					Book	EBook
Datenreport 2016 : ein Sozialbericht f¸r die Bundesrepublik Deutschland		978-3-8389-7143-8							https://www.wzb.eu/de/publikationen/datenreport/datenreport-2016		860064085		fulltext		Bundeszentrale f¸r politische Bildung	monograph		2016						P					Book	EBook
Geringe Dynamik in der Wohneigentumsbildung									https://www.iwkoeln.de/studien/iw-kurzberichte/beitrag/wohneigentumsquote-geringe-dynamik-in-der-wohneigentumsbildung-281489		860070603		fulltext		Institut der deutschen Wirtschaft Kˆln	monograph		2016			"Niehes, Judith"			P					Book	EBook
Wissenschaftliche Begleitung und Analyse der Partizipation und des B¸rgerschaftlichen Engagements in acht Berliner Bezirksregionen : im Auftrag des Bezirksamtes Treptow-Kˆpenick von Berlin									https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/service-und-organisationseinheiten/sozialraumorientierte-planungskoordination/endber		860071022		fulltext			monograph		2015			"Becker, Carsten"			P					Book	EBook
